Category,Points,Mission
Community,2,Attend a BC football game
Community,2,"Attend a free BC sporting event (soccer, w hockey, volleyball, etc.)"
Community,4,Eat at every dining hall on campus (including Stuart!)
Community,3,Go to late night at the Rat
Community,1,Attend a floor/building event for your residence hall
Community,1,Attend a club meeting
Community,3,Meet your next-door neighbors
Community,2,Attend a BC theatre performance
Community,2,Attend a BC musical performance
Community,3,Join an intramural team or attend an intramural game
Community,1,Check out Addie’s in Lower
BC Resources,4,Get free aquarium or Museum of Science tickets from Robsham
BC Resources,2,"Borrow anything (pencil, charger, umbrella) from the library"
BC Resources,3,Have your resume reviewed at the Career Center
BC Resources,1,Meet with your academic or department advisor
BC Resources,4,Make a Four Year Plan with the Academic Advising Office
BC Resources,2,Attend office hours (with a question!)
BC Resources,3,Complete the Hatchery Orientation
BC Resources,1,Take a photo of something beautiful on campus
BC Resources,2,Visit the McMullen museum
BC Resources,1,Visit a building on campus that you’ve never been to before
Boston,3,Visit Boston Public Library
Boston,4,Sign up and go to a Red Sox game using Student 9’s
Boston,1,Buy and use a Charlie Card
Boston,2,Visit one stop on the Freedom Trail
Boston,3,Visit the “cop slide”
Boston,1,Visit Boston Public Garden
Boston,2,Visit Chinatown
Boston,3,Get a cannoli from the North End
Boston,4,Visit the MFA
Boston,2,Take the T somewhere besides the Green Line